,,,,,,,,,
번호,부서명,사용자,사용일자(일시),사용장소(가맹점명),사용목적(내역),대상인원,사용방법,비목,사용금액(원)
1,기획예산과,조효빈,2022-10-04 11:35,참치애난,스토리텔링 사업 발굴 관련 간담회비 지급(10. 4.),스토리텔링 담당자 등 2명,제로페이,시책,20000
2,기획예산과,문정훈,2022-10-28 13:07,최부자,국시비 보조금 사업예산 확보 관련 간담회 경비 지급,"담당공무원, 사업관계자 등 8명",카드,시책,150000
3,기획예산과,이준우,2022-10-07 14:00,여미향 망개떡 서대,예산결산특별위원회 업무협의 다과구입비 지급,예산결산특별위원회 및 관계자 등,카드,시책,195000
4,기획예산과,문지선,2022-10-12 10:02,진흥마켓,찾아가는 보조금24 활성화 간담회비 지급,찾아가는 보조금24 활성화 관계자 10명,카드,시책,22000
5,기획예산과,이수연,2022-10-13 12:16,은평 쭈꾸미,서울혁신파크 연계사업 활성화를 위한 간담회 개최 지급,"관계공무원, 혁신파크 관계자 등 5명",제로페이,시책,52000
6,기획예산과,박지영,2022-10-17 19:40,소담,공약이행평가단(주민배심원) 업무추진 간담회비 지급,"매니페스토 관계자, 관계공무원 등 11명",카드,시책,138000
7,기획예산과,조효빈,2022-10-19 12:00,이화수 전통육계장 은평구청점,스토리텔링 사업 발굴 관련 간담회비 지급(10. 19.),스토리텔링 담당자 등 4명,제로페이,시책,52000
8,기획예산과,이수연,2022-10-20 10:49,진흥마켓,민간위탁사무 담당자 및 종사자 교육 관련 다과비 지급,민간위탁사무 담당자 및 종사자 교육 관계자 등,카드,시책,258700
9,기획예산과,박지영,2022-10-21 13:58,뚜레쥬르 은평구청점,공약이행평가단(주민배심원) 간식비 지급,"총 50명(주민배심원단 35명, 촉진자 5명, 관계자 10명)",카드,시책,100000
10,기획예산과,조효빈,2022-10-24 11:56,오이삐,창의비전 운영 간담회비 지급(10. 24.),창의비전 신규사업 담당자 등 4명,제로페이,시책,72000
