사용일자,"사용 장소
(가맹점명)","사용
금액
(원)","대상
인원
(명)"
01월 10일,종로도담,"36,000",4
01월 10일,감촌,"70,000",4
01월 14일,"골뱅이신
사","84,000",6
01월 20일,(주)한일관,"58,000",5
01월 20일,"(주)베이징코
야","65,000",6
01월 25일,"라그릴리아광
화문점","126,400",6
01월 27일,"(주)파리크라
상","120,000",6
02월 04일,"타마린드
D타워점","30,000",3
02월 04일,"스타벅스
코리아","61,000",6
02월 04일,"사조참치브이
아이피","108,000",6
02월 07일,"모랑 광화문 
종로구","100,000",5
02월 07일,"오월의 
소소함","100,000",5
02월 09일,"결/주식회사 
에이블","32,000",5
02월 10일,경성치킨,"119,000",6
02월 15일,"(주)파리크라
상","126,000",6
02월 15일,"(주)오근내5
닭갈비","70,000",4
02월 21일,광화문등심,"64,000",4
02월 21일,"사리원안녕인
사동점","144,000",6
02월 21일,"스타벅스
코리아","45,600",4
02월 25일,호반,"105,000",5
02월 28일,메밀란,"57,000",4
03월 04일,청록삼상회,"202,000",8
03월 10일,"(주)떡파는사
람들서","52,500",6
03월 11일,"스타벅스
코리아","59,700",6
03월 14일,"장수하늘소 
인사점 외 1
건","169,600",8
03월 15일,"사조참치브이
아이피","59,000",5
03월 23일,"우드앤브릭 
광화문K","36,700",5
03월 25일,(주)도레도레,"24,500",4
03월 28일,"스타벅스
코리아","66,200",7
04월 04일,"브리오슈도레
그랑서울","90,000",8
04월 04일,차알 광화문,"26,400",4
04월 06일,"결/주식회사 
에이블","80,000",8
04월 07일,"(주)닥터로빈
광화","139,000",8
04월 08일,"우드앤브릭 
광화문K","32,500",6
04월 12일,경성치킨,"120,000",8
04월 13일,"주식회사
랑데자뷰광","34,500",4
04월 19일,광화문등심,"84,000",6
04월 22일,"스타벅스
코리아","39,900",10
04월 22일,심포니오브,"29,100",5
05월 06일,토속정,"36,000",4
05월 12일,"아리스타커피
(이마빌","100,000",20
05월 12일,청록삼상회,"297,000",30
05월 17일,"스타벅스
코리아","24,700",6
05월 17일,"위고에 
빅토르","32,400",6
05월 17일,별궁식당,"36,000",4
05월 17일,"위고에 
빅토르 외
건","162,100",8
05월 19일,종로도담,"51,000",5
05월 19일,국수명가,"100,000",8
05월 19일,광화문등심,"132,000",5
05월 23일,카페 이드라,"39,000",7
05월 23일,민소한우,"112,000",6
05월 23일,"오발탄 
종로점","346,000",16
05월 26일,"투썸종로구청
/투썸플","156,500",15
05월 31일,"할리스커피 
종로코리","24,300",7
05월 31일,"투썸종로구청
/투썸플","48,600",12
